title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Liens socio,http://www.liens-socio.org,Page d'accueil,,300,,university,"Portail francophone des sciences sociales. Actualités, agenda, annuaire, lettre.",Sciences humaines et sociales ; Bibliographie,Social sciences ; References,Liens socio,fre,ZZ,10,9,DG,
Collectif féministe contre le viol - CFCV,http://www.cfcv.asso.fr,Page d'accueil,vie politique:citoyenneté ; société:discriminations,305,,association,Site du Collectif féministe contre le viol - CFCV,femmes ; violence ; viol ; féminisme,women ; rape ; violence ; feminism,CFCV,fre,FR,13,11,DG,
Association française de science politique - AFSP,http://www.afsp.msh-paris.fr,Page spécifique,vie politique:vie politique ; europe:europe,320,,association,"Portail de l'AFSP. Actualités, agenda, activités par groupes et section d'études, congrès, thèses, archives, partenaires.",Science politique ; Association ; sciences sociales ; France ; Union européenne,Political Science ; Association ; social sciences ; France ; European Union,Association française de science politique,fre,FR,10,10,DG,
Amnesty International France,http://www.amnesty.fr,Page d'accueil,justice:justice ; société:droits de l'homme,323,,association,"Site d'Amnesty International France (AIF), association créée en 1971",Droits de l'homme,Human rights,Amnesty International France ,fre,ZZ,12,11,ZM,Trouvé dans la liste de Mathieu mais l'adresse http://www.amnesty.asso.fr ne fonctionne pas
Jack Lang sur Facebook,http://fr-fr.facebook.com/pages/Jack-Lang/127566365326,Page d'accueil,culture et communication:culture et communication,324,jack lang,politician,Page Facebook de Jack Lang,Vie politique ; Gauche ; PS ; France,Politics ; Left ; PS ; France,Jack Lang,fre,FR,13,11,ZM,
Blog de Jean-François Copé (Le),http://jeanfrancoiscope.fr/wordpress/,Page d'accueil,économie:économie ; vie politique:identité nationale ; société:immigration,324,jean-françois copé ; nicolas sarkozy,politician,"Blog de Jean-François Copé, Secrétaire général de l'UMP et député-maire de Meaux (Seine et Marne)",Vie politique ; Droite ; UMP ; France ; Elus ; Elections ,Politics ; Right ; UMP ; Elections ; France,Jean-François Coppé,fre,FR,13,11,ZM,
Patrick Devedjian,http://www.patrickdevedjian.fr,Page d'accueil,économie:finances publiques ; économie:crise financière ; vie politique:vie politique,324,patrick devedjian,politician,Blog de Patrick Devedjan,Vie politique ; Droite ; France ; UMP ;  Élections ,Politics ; Right ; France ; Elections,Patrick Devedjan,fre,FR,13,11,ZM,
Commission nationale des comptes de campagne et des financements politiques,http://www.cnccfp.fr,Page d'accueil,économie:finances publiques ; vie politique:campagne électorale,324,,institution,Commission créée par la loi n° 90-55 du 15 janvier 1990 relative à la limitation des dépenses électorales et à la clarification du financement des activités politiques. Elle a été mise en place le 19 juin 1990.,Caisses électorales,Campaign funds ,C.N.C.C.F.P.,fre,FR,12,11,ZM,
CIDEM,http://www.cidem.org,Page d'accueil,éducation:éducation ; vie politique:citoyenneté,324,,association,"Né en 1984 de la volonté de plusieurs associations de mener des actions en faveur de l’éducation à la citoyenneté et de faire progresser la démocratie, le CIDEM regroupe 11 associations. Depuis 2001, le CIDEM réalise le Baromètre de la citoyenneté avec l’Institut de sondages TNS SOFRES.",Citoyenneté ; élections ; participation politique,Citizenship ; elections ; political participation,CIDEM,fre,FR,12,11,ZM,
Journal du Dimanche - Politique ,http://www.lejdd.fr/Politique,Page spécifique,vie politique:campagne électorale,324,,media,L'actualité politique sur le site du Journal du Dimanche ,Vie politique ; Élections ; France ; Médias,Politics ; Elections ; France ; Media ; News,Journal du Dimanche,fre,FR,12,11,ZM,Non mis à jour depuis les élections 2012 mais encore disponible sur le net
André Santini sur Facebook,http://www.facebook.com/pages/Andr%C3%A9-Santini/326366925310,Page d'accueil,vie politique:campagne électorale,324,andré santini,politician,Page Facebook d'André Santini,Vie politique ; France,Politics ; France,André Santini,fre,FR,13,11,ZM,"L'adresse http://www.andre-santini.net dans la liste de Mathieu renvoie à http://www.facebook.com/pages/Andr%C3%A9-Santini/326366925310, page Facebook de Santini"
Blog de Pierre Moscovici (Le),http://www.pierremoscovici.fr,Page d'accueil,vie politique:campagne électorale ; économie:crise financière,324,françois hollande,politician,"Député à l’Assemblée Nationale, élu de la 4ème circonscription du Doubs. Directeur de campagne de François Hollande. Ministre de l'Economie, des Finances et du Commerce extérieur. Agenda, analyses, présence dans les médias (vidéos).",Vie politique ; Gauche ; PS ; Élections ; France,Politics ; Left ; PS ; Elections ; France,Pierre Moscovici,fre,FR,13,11,ZM,
Blog de François Fillon (Le). La France peut supporter la vérité,http://www.blog-fillon.com,Page d'accueil,vie politique:campagne électorale ; économie:crise financière ; europe:europe,324,françois fillon ; nicolas sarkozy,politician,"Blog de François Fillon, Premier Ministre.",Vie politique ; UMP ; Droite ; Élections ; France,Politics ; Right ; UMP ; Elections  ; France,François Fillon,fre,FR,13,11,ZM,
Daniel Cohn-Bendit,http://www.cohn-bendit.eu/dcb/fe/pub/fr/,Page d'accueil,vie politique:campagne électorale ; économie:crise financière ; europe:europe,324,daniel cohn-bendit,politician,"Blog de Daniel Cohn Bendit, journaliste et homme politique (LES VERTS), député européen; co-président du groupe des Verts/Alliance Libre Européenne (ALE) au Parlement européen.",Vie politique ; Ecologie politique ;  Europe Écologie-Les Verts ; Europe ; France,Poltics ; Green movement ; Environment politics ; France ; Europe,Daniel Cohn Bendit,fre ; eng,ZZ,13,11,ZM,
Blog de Nicolas Dupont-Aignan (Le),http://blog.nicolasdupontaignan.fr,Page d'accueil,"vie politique:campagne électorale ; économie:entreprise ; vie politique:souveraineté ; europe:europe 
",324,nicolas dupont-aignan,politician,"Blog de Nicolas Dupont-Aigan, Président de Debout la République.",Vie politique ; Droite ; Elections ; France,Politics ; Right ; Elections ; France,Nicolas Dupont-Aigan,fre,FR,13,11,ZM,
Place au Peuple,http://www.placeaupeuple2012.fr,Page d'accueil,vie politique:campagne électorale ; vie politique:vie politique ; économie:économie ; économie:mondialisation ; économie:finances publiques ; économie: crise financière ; politique sociale:politique sociale ; éducation:éducation ; société:inégalité sociale ; société:discriminations ; europe:europe,324,jean-luc mélenchon,political_party,Site du Front de gauche,Vie politique ; France ; Élections ; Gauche,Politics ; France ; Elections ; Left,Parti de Gauche,fre,FR,12,11,ZM,
Le Chêne,http://www.lechene.org,Page d'accueil,vie politique:campagne électorale ; vie politique:vie politique ; économie:économie ; politique sociale:politique sociale,324,miclèle alliot-marie ; nicolas sarkozy,think_tank,Think tank basé à Ciboure (Pyrénées Atlantiques) et présidé par Michèle Alliot-Marie,Think Tank ; Droite ; UMP ; France,Think-tank ; Right ; UMP; France,Le Chêne,fre,FR,12,11,ZM,
IPSA Portal,http://ipsaportal.unina.it,Page d'accueil,vie politique:vie politique,324,,university,Top 300 websites for political science. An official publication of the International Political Science Association,science politique ; répertoire ,political science ; directory,International Political Science Association,eng,IT,10,10,DG,
Assemblée Nationale,http://www.assemblee-nationale.fr,Page d'accueil,vie politique:vie politique,324,,institution,,Vie politique ; partis politiques ; Parlement,Politics ; political parties ; parliament,Assemblée Nationale,fre,FR,12,11,ZM,
France politique,http://www.france-politique.fr,Page d'accueil,vie politique:vie politique,324,,media,Site d'information sur les élections et l'actualité politique en France créée par Laurent de Boissieu,Vie politique ; Elections ; France,Politics ; Vote ; France,France-politique.fr,fre,FR,13,11,DG,
Réseau du savoir électoral - Ace Electoral Knowledge Network,http://aceproject.org,Page d'accueil,vie politique:vie politique ; numérique:données publiques,324,,media,Portail sur les élections et les données électorales dans tous les pays du monde. Actualités électorales ; encyclopédie ; données comparatives ; documents électoraux ; le projet ACE.,Élections ; Données publiques ; Monde,Vote ; Public data ; World politics,ACE Project,fre ; eng,ZZ,10,11,DG,
Hervé Morin,http://www.hervemorin.fr,Page d'accueil,vie politique:vie politique ; politique sociale:politique sociale ; économie:économie ; environnement:environnement,324,hervé morin ; nicolas sarkozy,politician,"Site d'Hervé Morin, Président du ""Nouveau Centre"", député de l'Eure",Vie politique ; Centre droit ; France ;  Elections ,Politics ; Centre Right ; France ; Elections,Hervé Morin,fre,FR,13,11,ZM,
Front national de la jeunesse,http://www.fnjeunesse.fr,Page spécifique,vie politique:vie politique ; société:jeunesse ; vie politique:citoyenneté,324,marine le pen  ,political_party,Site des mouvement des jeunes du FN,Vie politique ;  Jeunesse ; France ; Europe ,Politics ; Youth ; France ; Europe,Front National de la Jeunesse,fre,FR,12,11,ZM,
Jean-Michel Baylet,http://www.jeanmichelbaylet.fr,Page d'accueil,vie politique:vie politique ; société:société ; relations internationales:relations internationales,324,jean-michel baylet,politician,"Site de Jean-Michel Baylet. Président du Parti Radical de Gauche , Sénateur PRG au groupe RDSE , Président du ConseilGénéral TarnEtGaronne , candidat aux Primaires Citoyennes",Vie politique ; France ; Parti Radical ; Gauche ; Élection présidentielle ,Politics ; Elections ; Left ; France,Jean-Michel Baylet,fre,FR,13,11,ZM,
Rue89,http://www.rue89.com,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale,324,,media,Site de Page de Rue89 ,Elections ; France ; médias,Elections ; France ; media,Rue89,fre,FR,12,11,ZM,
Blog de Ségolène Royal - présidente de la région Poitou-Charente,http://www.presidente.poitou-charentes.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:économie ; environnement:environnement ; administration publique:aménagement du territoire,324,ségolène royal ; françois hollande,politician,Blog de Ségolène Royal. Présidente de la région Poitou-Charente,Vie politique ; France ; PS ; Gauche ; Élections,Politics ; France ; PS ; Elections ; Left,Ségolène Royal,fre,FR,13,11,ZM,
Politivox,http://politivox.liberation.fr,Page spécifique,vie politique:vie politique ; vie politique:vie politique,324,,media,Observatoire de l'actualité politique mesurant quotidiennement l'intérêt spontané pour les personnalités et les actualités qui font la Une sur Internet   ,Vie politique ; Elections ; France  ; Médias,Politics ; Elections ; France ; media,Libération,fre,FR,12,11,ZM,
Victorien Lurel sur Facebook,http://www.facebook.com/lurel.victorin,Page spécifique,,324,victorien lurel,politician,"Page Facebook de Victorien Lurel, Ministre des Outre-mer",Vie politique ; Outre-mer ; France,polititics ; Carribeans ; France,Facebook ; Victorien Lurel,fre,FR,13,11,DG,
Institut des Relations Internationales et Stratégiques - IRIS ,http://www.iris-france.org,Page d'accueil,Relations internationales,327,,university,"Créé en 1991, l'IRIS est un think tank français actif dans les domaines des questions internationales et stratégiques. Nombreuses publications et notes d'expertises disponibles sur le site.",relations internationales ; géopolitique ; géostratégie,international relations ; geopolitics,IRIS,fre,FR,10,10,DG,
Centre d'études et de recherche internationale - CERI,http://www.ceri-sciences-po.org,Page spécifique,relations internationales:relations internationales ; société:immigration,327,,university,"Le centre analyse des thèmes se rapportant aux relations internationales d'un point de vue comparatiste, et incluant l'étude de phénomènes politiques, sociaux et économiques sur tous les continents.",Sciences po ; Recherche ; Relations internationales,Sciences Po ; Research ; International Relations,CERI - Sciences Po - CNRS,fre ; eng,FR,12,10,DG,
Blog de Pascal Boniface,http://www.iris-france.org/informez-vous/blog_pascal_boniface.php,Page spécifique,sécurité et défense:sécurité et défense ; relations internationales:relations internationales ; société:laïcité et religion,327,Pascal Boniface,academic,"Blog de Pascal Boniface sur le site de l'IRIS. Réflexions sur les différents conflits dans le monde (Moyen-Orient, Afrique) et la position de la France sur la politique mondiale. L'islamophobie et les musulmans en France.",Relations internationales ; politique étrangère : conflits ; islam ; France,international relations ; foreign policy ; conflicts ; islam ; France,IRIS ; Pascal boniface,fre,FR,13,10,DG,
éconoclaste : l'économie pour les nuls et les autres,http://econoclaste.org.free.fr,Page d'accueil,économie:économie ; économie:crise financière ; politique sociale:politique sociale ; europe:europe,330,,academic,Blog d'Alexandre Delaigue et Stéphane Menia. Ces deux enseignants en économie (Saint Cyr pour A. Delaigue) et expertise comptable DSCG pour S. Menia) veulent faire partager leur passion pour l'économie politique. ,Économie politique ; finances internationales ; politique économique ; France ; monde ; élections ; 2012,Political economy ; Economic policy ; finance ; France ; Europe,éconoclaste,fre,ZZ,13,11,DG,
Débat&co,http://www.debateco.fr,Page d'accueil,économie:économie ; économie:entreprise ; économie:crise financière,330,,think_tank,Site d'information et de débat sur l'actualité économique et sociale du think tank Institut de l’entreprise ,politique économique ; politique sociale ; travail ; entreprise,economic policy ; social policy ; labor policy ; business enterprises,Institut de l’entreprise ,fre,FR,12,11,ZM,
Centre de recherche en économie de Sciences Po - OFCE,http://www.ofce.sciences-po.fr,Page spécifique,économie:économie ; emploi:emploi,330,,university,Le centre analyse les tendances de certains phénomènes économiques. Il est à la fois centre de recherche et institut de prédiction et d'évaluation des politiques publiques.,Sciences Po ; Economie ; Recherche,Sciences Po ; Economics ; Research,OFCE - Sciences Po,fre ; eng,FR,12,10,DG,
FONDAFIP - Association pour la fondation internationale de finances publiques,http://www.fondafip.org,Page d'accueil,économie:finances publiques ; économie:mondialisation,330,,association,Site d'Association pour la fondation internationale de finances publiques. Réseau international de chercheurs et d'experts pour la recherche-action en finances publiques et fiscalité.,Finances publiques ; Fiscalité ; Association ; Recherche ; Monde,Public Finance ; Taxes ; Association ; Research ; World,Fondafip,fre,ZZ,10,9,DG,
Les forums d'actuchomage,http://www.actuchomage.org/forum/,Page spécifique,emploi:emploi ; société:discriminations ,331,,association,Forums du site actuchomage,Politique sociale ; emploi ; chômage ; organisation du travail ; formation professionnelle ; temps de travail ; économie politique ; France ,social policy ; work policy ; employment ; professionnal training ; France,Actuchomage.org,fre,FR,13,11,DG,
Greenpeace France,http://www.greenpeace.org/france/,Page spécifique,environnement:environnement ; énergie:énergie ; énergie:nucléaire ; environnement:développement durable,333,,association,"Site français de l'organisation internationale de protection de l'environnement. Actualités, agenda, groupes locaux, grands thèmes (énergie et climat, nucléaire, océans, OGM, forets).",Environnement ; Écologie politique ; énergie nucléaire ; ONG,NGO ; Environmental politics ; Green Movement ; France ; World,Greenpeace,fre,ZZ,12,11,DG,
Fondation Nicolas Hulot pour la nature & l'homme,http://www.fondation-nature-homme.org,Page d'accueil,environnement:environnement ; relations internationales:relations internationales ; administration publique:urbanisme ; vie politique:vie politique ; économie:économie,333,nicolas hulot,think_tank,"Fondation créée par Nicolas Hulot. Cette ONG, reconnue d'utilité publique, s'est donnée pour objectif de modifier les comportements individuels et collectifs pour préserver notre planète. . ",Fondation ; Écologie politique ; Protection de l'environnement ; France ; Monde,Foundation ; Green Movement ; Environmental politics ; France ; World,Fondation pour la nature et l'Homme,fre,ZZ,10,11,DG,
Groupe d'économie mondiale - GEM,http://www.gem.sciences-po.fr/index_fr.html,Page spécifique,europe:europe ; justice:justice ; numérique:numérique ; relations internationales:relations internationales ; administration publique:administration publique ; économie:économie,337,,university,"Le centre est un groupe de recherche spécialisé dans l’étude du commerce international, en particulier des thèmes liés à la régulation. Son but est de développer une culture d'évaluation des décisions publiques.",Sciences Po ; Economie internationale ; Recherche,Sciences Po ; International economics ; Research ; France ; World,GEM - Sciences Po,fre ; eng,FR,12,10,DG,
Eco(lo) : chroniques pour une économiesociale et durable,http://ecologie.blog.lemonde.fr,Page spécifique,économie:innovation ; environnement:environnement ; politique sociale:politique sociale,338,,journalist,"Blog d'Audrey Garric, journaliste au Monde.fr. Commente l'actualité française et internationale en fonction des problématiques du développement durable : politique énergétique, changement climatique, biodiversité",écologie politique ; développement durable ; développement humain ; changement climatique ; politique énergétique ; diversité biologique ; France ; monde,,Le Monde.fr ; Audrey Garric,fre,FR,13,11,DG,
Négawatt,http://www.negawatt.org,Page d'accueil,environnement:environnement ; énergie:énergie,338,,association,"L'association Négawatt propose un scénario (le ""Manifeste négawatt"") possible et désirable pour sortir de toutes nos crises de l’énergie et du climat. L'ouvrage est disponible en librairie ou en ligne.

",écologie politique ; politique énergétique ; protection de l'environnement ; changement climatique ; France ; monde ; élections ; 2012,Ecology ; climate change ; energy policy,Association Négawatt,fre,FR,13,11,DG,
Altermondes,http://www.altermondes.org,Page d'accueil,vie politique:vie politique ; société:inégalité sociale ; environnement:développement durable ; société:droits de l’homme ; relations internationales:relations internationales,338,,media,Site de la Revue trimestrielle de solidarité internationale,altermondialisme ; développement durable ; droits de l'homme,anti-globalism ; sustainable development ; human rights,Altermondes,fre,ZZ,10,11,DG,
Journal d'un avocat : instantanés de la justice et droit,http://www.maitre-eolas.fr,Page d'accueil,"justice:justice ; société:droits de l’homme ; numérique:numérique
",347,,academic,"Blog de Maître Eolas. Sous ce pseudonyme, un avocat du barreau de Paris, conscient de l'intérêt des français pour la justice et le droit, analyyse et commente l'actualité juridique sur le web.",Droit ; Vie politique ; Justice ; France,Law ; Politics ; France,Typhon SARL ,fre,FR,13,10,DG,
Cour des Comptes,http://www.ccomptes.fr,Page d'accueil,,351,,institution,"Site d'nformations sur la Cour des comptes, les chambres régionales et territoriales des comptes (C.R.T.C.) et la Cour de discipline budgétaire et financière (C.D.B.F.), ainsi que sur les trois institutions associées à sa juridiction.",dépenses publiques ; administration publique,public administration,Cour des Comptes,fre,FR,12,11,ZM,
Blog de Frigide Barjot,http://frigidebarjot.com,Page d'accueil,vie politique:vie politique ; société:discriminations ;  politique sociale:politique sociale,360,frigide barjot,activist,"Blog de Frigide Barjot, égérie de la ""Manif pour tous"", mouvement contre le ""mariage pour tous"" institué par la loi Taubira qui permet les unions de couples de même sexe.",vie politique ; famille ; mariage ; homosexualité ; politique publique ; France,social movement ; France ; family ; same-sex marriage ,Frigide Barjot,fre,FR,13,11,DG,
Collectif des malogés en colère ,http://mal-logesencolere.20minutes-blogs.fr,Page d'accueil,société:inégalité sociale ; vie politique:citoyenneté ; politique sociale:logement,362,,association,"Site du Collectif des mal-logés, qui organise, chaque semaine depuis 2004, des actions et des manifestations pour l'accès au logement social.",mouvement social ; logement ; France,social movement ; housing ; France,Mal-logés en colère ; 20 Minutes,fre,FR,13,11,DG,
Ecole Nationale d'Administration - ENA,http://www.ena.fr/index.php?/fr,Page d'accueil,éducation:éducation ; administration publique:administration publique ; europe:europe,370,,university,"Une école d'application nationale, européenne et internationale, l'ENA forme ses élèves dans une double dimension, celle de l'expertise et celle du management public. Formations et admissions ; affaires européennes ; relations internationales ; recherches et documentation. ",Enseignement supérieur ; Administration ; France ; Science politique ; Relations internationales ; Politiques publiques,Higher Education ; Administration ; Politics ; International Relations ; Public Policies ; France,ENA,fre,FR,10,10,DG,
New York Times - France,http://topics.nytimes.com/top/news/international/countriesandterritories/france/index.html,Page spécifique,vie politique:vie politique,944,,media,Pages du New-York Times-International Herald Tribune portant sur la France.,Actualités ; Vie politique ; Élections ; France ,News ; Politics ; Elections ; France,New York Times,eng,US,10,11,DG,
Parti pirate,https://www.partipirate.org,Page d'accueil,numérique:numérique ; vie politique:citoyenneté ; société:société,000 ; 940,,political_party,"Citoyens du monde entier qui défendent le partage de la culture et de l'information. Pour un accès libre et égal pour tous aux produits culturels numériques permis par la technologie. Peu connu en France, ce parti compte déjà deux députés européens. ",Vie politique ; NTIC ; Enjeux ; Libre accès ; Hadopi ; Culture ; France ; Europe,Politics ; IT ; Open Access ; Hadopi ; France ; Europe,Parti Pirate,fre,ZZ,10,11,DG,
"Slate.fr
",http://www.slate.fr,Page d'accueil,,070 ; 320,,media,"Réflexions sur la société, les médias, la politique, l'économie, la culture",Médias ; Actualités ; Société ; Vie politique ; Économie ; Culture,Media ; News ; Politics ; Society ; Economics ; Culture,Slate.fr,fre,FR,10,11,DG,
Culture et médias 2030 : prospective de politiques culturelles,http://www.culturemedias2030.culture.gouv.fr,Page spécifique,culture et communication:culture et communication,070 ; 944,,institution,"Etude prospective sur l'évolution de la culture et des médias à l'horizon 2030 réalisée par le Service de la coordination des politiques culturelles et de l'innovation au Secrétariat général du Ministère de la Culture et de la Communication. Démarche, diagnostic, scénarios, enjeux, facteurs déterminants, appel à contribution.",Economie de la culture ; Médias ; Prospective ; Politiques publiques ; Enjeux ; France,Cultural economics ; Media ; Public policies ; Prospective ; Issues ; France,Ministère de la culture et de la Communication,fre,FR,10,11,DG,
ACRIMED - Action critique Médias,http://www.acrimed.org,Page d'accueil,culture et communication:culture et communication ,070 ; 944,,association,"L'association ACRIMED, née du mouvement social de 1995 s'est constituée comme un observatoire des médias. Elle réunit des journalistes et salariés des médias, des chercheurs et universitaires, des acteurs du mouvement social et des « usagers » des médias. Elle cherche à mettre en commun savoirs professionnels, savoirs théoriques et savoirs militants au service d’une critique indépendante, radicale et intransigeante. Information, médias, journalismes, ressources.
",Médias ; journalisme ; Critique ; Citoyen ; France,Media ; Journalism ; Citizen ; France,Acrimed,fre,FR,10,11,DG,
La toile de David Abiker,http://davidabiker.fr/wordpress/,Page d'accueil,culture et communication:culture et communication ; numérique:numérique ; vie politique:campagne électorale,070 ; 944,françois hollande,journalist,"Blog du journaliste David Abiker, spécialiste des médias et de la commjnication, ancien collaborateur d'""Arret sur image"", chroniqueur à France Info et enseignant à Sciences Po Paris.",Communication ; Médias ; Numérique ; Vie politique ; élections ; 2012,médias ; vie politique ; emploi ; enseignement ; société ; France,David Abiker,fre,FR,13,11,DG,
Indymedia Paris Ile-de-France,http://paris.indymedia.org,Page spécifique,culture et communication:culture et communication ; vie politique:campagne électorale ; justice:justice ; politique sociale:politique sociale ; économie:crise financière ; relations internationales:relations internationales ; société:discriminations ,070 ; 944,,media,Site du média d'information alternatif Indymédia pour Paris. ,Médias ; alternatifs ; altermondialisme ; mouvement social ; élections ; France ,Media ; social movement ; anti-globalism ; alternative politics,Indymédia,fre,FR,10,11,DG,
Blog de Gérard Filoche (Le),http://www.filoche.net,Page d'accueil,emploi:emploi ; politique sociale:politique sociale ; économie:crise financière ; europe:europe,070 ; 944,gérard filoche ; ,activist,"Blog du célèbre inspecteur du travail, militant au courant de gauche du PS ""Démocratie et socialisme"".",Gauche ; Citoyen ; PS ; Vie politique ; Politique sociale ; Travail ; Enjeux ; Elections ; France,Politics ; Left ; Socialist Party ; France ; Social Policy ; Work conditions ; Issues ; Elections ,Gérard Filoche - Démocratie et socialisme,fre,FR,13,11,DG,
Libération,http://www.liberation.fr,Page d'accueil,société:société ; société:inégalité sociale ; politique sociale:politique sociale ; environnement:environnement ; vie politique:vie politique,070 ; 944,,media,"Quotidien généraliste français. Positionné à l'extrême-gauche à ses débuts, Libération évolue vers la gauche social-démocrate au début des années 1980. ",Médias ; Quotidiens ; France ; Gauche,Media ; Daily ; France ; Left,Libération.fr,fre,FR,12,11,DG,
Marianne - Politique,http://www.marianne.net/Politique_r1502.html,Page spécifique,vie politique:campagne électorale ; économie:crise financière ; économie:finances publiques ; europe:europe,070 ; 944,,media,"Rubrique ""campagne électorale"" de l’hebdomadaire Marianne.",Médias ; Quotidiens ; France ; Gauche ; Vie politique,Media ; Daily ; France ; Left ; Politics,Marianne,fre,FR,10,11,DG,
